Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing,Type
"3 BHK Flat for Sale in DLF New Town Heights, DLF New Town Heights, New Town, Kolkata",Kolkata,New Town,3,16000000,,2010.0,7960.0,Unfurnished,buy
"4 BHK Flat for Sale in Bengal Peerless Avidipta, Bengal Peerless Avidipta, Eastern Metropolitan Bypass, Kolkata",Kolkata,EM Bypass,4,21500000,,1650.0,13030.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Loharuka Urban Vista, Loharuka Urban Vista, Rajarhat, Kolkata",Kolkata,Rajarhat,3,6700000,,1223.0,5478.0,Unfurnished,buy
"2 BHK Flat for Sale in Upohar The Condoville, Upohar The Condoville, Eastern Metropolitan Bypass, Kolkata",Kolkata,EM Bypass,2,9500000,,918.0,10349.0,Unfurnished,buy
"5 BHK Flat for Sale in Urbana NRI Complex, Urbana NRI Complex, Eastern Metropolitan Bypass, Kolkata",Kolkata,EM Bypass,5,152000000,,4560.0,33333.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Ruchira Residency, Ruchira Residency, Eastern Metropolitan Bypass, Kolkata",Kolkata,EM Bypass,2,7500000,,750.0,10000.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Rohra Imperial, Rohra Imperial, New Town, Kolkata",Kolkata,New Town,2,5430000,,988.0,5500.0,Unfurnished,buy
"3 BHK Flat for Sale in Shree Miraya, Shree Miraya, Rajarhat, Kolkata",Kolkata,Rajarhat,3,9400000,,849.0,11072.0,Unfurnished,buy
"3 BHK Flat for Sale in Supreme Residency, Supreme Residency, Rajarhat, Kolkata",Kolkata,Rajarhat,3,6500000,,725.0,8966.0,Unfurnished,buy
"4 BHK Flat for Sale in Siddha Serena, Siddha Serena, Rajarhat, Kolkata",Kolkata,Rajarhat,4,17200000,,1407.0,12225.0,Unfurnished,buy
"3 BHK Flat for Sale in Loharuka Urban Vista, Loharuka Urban Vista, Rajarhat, Kolkata",Kolkata,Rajarhat,3,7300000,,780.0,9359.0,Unfurnished,buy
"4 BHK Flat for Sale in Belani NPR Sanctuary, Belani NPR Sanctuary, Tollygunge, Kolkata",Kolkata,Tollygunge,4,45000000,,2800.0,16100.0,Unfurnished,buy
"2 BHK Flat for Sale in Utalika Luxury Phase 5, Utalika Luxury Phase 5, Eastern Metropolitan Bypass, Kolkata",Kolkata,EM Bypass,2,8000000,,485.0,16495.0,Unfurnished,buy
"4 BHK Flat for Sale in SRIPSK Palladina, SRIPSK Palladina, Eastern Metropolitan Bypass, Kolkata",Kolkata,EM Bypass,4,45500000,,3475.0,13093.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Siddha Serena, Siddha Serena, Rajarhat, Kolkata",Kolkata,Rajarhat,3,6960000,,1160.0,6000.0,Unfurnished,buy
"2 BHK Flat for Sale in Ambuja Urvisha The Condoville, Ambuja Urvisha The Condoville, New Town, Kolkata",Kolkata,New Town,2,15500000,,990.0,15657.0,Unfurnished,buy
"3 BHK Flat for Sale in GPS Meena Vedica, GPS Meena Vedica, Gouranganagar, Kolkata",Kolkata,Gouranganagar,3,5250000,,1160.0,4523.0,Unfurnished,buy
"4 BHK Flat for Sale in Bengal Peerless Avidipta Phase 2, Bengal Peerless Avidipta Phase 2, Eastern Metropolitan Bypass, Kolkata",Kolkata,EM Bypass,4,50100000,,1749.0,28645.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Rechi Anandi Enclave, Rechi Anandi Enclave, Rajarhat, Kolkata",Kolkata,Rajarhat,2,5200000,,700.0,7429.0,Unfurnished,buy
6 BHK House for Sale in Kasba Kolkata,Kolkata,Kasba,6,35000000,,2200.0,15909.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Bhowanipore, Kolkata",Kolkata,Bhawanipur,2,14500000,,1000.0,14500.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Gopalpur, Kolkata",Kolkata,Gopalpur,2,4380000,,717.0,6107.0,Unfurnished,buy
"4 BHK Flat for Sale in Dinesh Nagar Mukundapur, Kolkata",Kolkata,Dinesh Nagar,4,51500000,,2200.0,23409.0,Unfurnished,buy
"4 BHK Flat for Sale in Emami Aamod, Emami Aamod, New Alipore, Kolkata",Kolkata,New Alipore,4,40000000,,2724.0,14698.0,Unfurnished,buy
"4 BHK Flat for Sale in Bengal Urbana Phase 2, Bengal Urbana Phase 2, Anandapur, Kolkata",Kolkata,Anandapur,4,69000000,,4473.0,15426.0,Unfurnished,buy
"4 BHK Flat for Sale in Bengal Urbana Phase 2, Bengal Urbana Phase 2, Anandapur, Kolkata",Kolkata,Anandapur,4,75000000,,2846.0,26353.0,Unfurnished,buy
"7 BHK Flat for Sale in Elgin, Kolkata",Kolkata,Elgin,7,80000000,,5000.0,16000.0,Furnished,buy
"3 BHK Flat for Sale in Realmark Seasonss, Realmark Seasonss, Joka, Kolkata",Kolkata,Joka,3,8000000,,950.0,8421.0,Unfurnished,buy
"5 BHK Flat for Sale in Purti The Varanda, Purti The Varanda, Lake Town, Kolkata",Kolkata,Lake Town,5,37000000,,2247.0,16466.0,Unfurnished,buy
"3 BHK Flat for Sale in Siddha Sky, Siddha Sky, Eastern Metropolitan Bypass, Kolkata",Kolkata,EM Bypass,3,21000000,,1992.0,10542.0,Unfurnished,buy
"4 BHK Flat for Sale in EIA Vayu, EIA Vayu, Kaikhali Boinchberia, Kolkata",Kolkata,Kaikhali Boinchberia,4,13700000,,1776.0,7760.0,Unfurnished,buy
"5 BHK Flat for Sale in Orbit Bella, Orbit Bella, Shakespeare Sarani, Kolkata",Kolkata,Shakespeare Sarani Road,5,150000000,,5800.0,25862.0,Unfurnished,buy
"4 BHK Flat for Sale in Belani NPR Sanctuary, Belani NPR Sanctuary, Tollygunge, Kolkata",Kolkata,Tollygunge,4,71000000,,2706.0,26237.0,Unfurnished,buy
