property_price_lakhs,chosen_tax_regime,monthly_emi,effective_monthly_emi,final_buying_wealth_crore,final_renting_wealth_crore,decision
27.7,DYNAMIC,20868.0,20868.0,0.93,1.42,RENT
140.0,DYNAMIC,54667.0,54667.0,4.68,3.25,BUY
55.0,DYNAMIC,36831.0,36831.0,1.84,1.84,RENT
27.0,DYNAMIC,20341.0,20341.0,0.9,1.26,RENT
130.0,DYNAMIC,54667.0,54667.0,4.34,3.89,BUY
35.0,DYNAMIC,23438.0,23438.0,1.17,1.27,RENT
65.0,DYNAMIC,43527.0,43527.0,2.17,2.8,RENT
70.0,DYNAMIC,46876.0,46876.0,2.34,4.33,RENT
11.0,DYNAMIC,8287.0,8287.0,0.37,0.54,RENT
92.0,DYNAMIC,54667.0,54667.0,3.07,4.17,RENT
30.0,DYNAMIC,22601.0,22601.0,1.0,1.82,RENT
31.5,DYNAMIC,21094.0,21094.0,1.05,1.39,RENT
28.0,DYNAMIC,21094.0,21094.0,0.94,1.48,RENT
22.0,DYNAMIC,16574.0,16574.0,0.73,1.25,RENT
65.0,DYNAMIC,43527.0,43527.0,2.17,3.46,RENT
39.2,DYNAMIC,26250.0,26250.0,1.31,1.09,BUY
73.5,DYNAMIC,49219.0,49219.0,2.45,3.25,RENT
330.0,DYNAMIC,54667.0,54667.0,11.02,5.55,BUY
45.0,DYNAMIC,30134.0,30134.0,1.5,2.26,RENT
37.0,DYNAMIC,24777.0,24777.0,1.24,0.59,BUY
50.0,DYNAMIC,33483.0,33483.0,1.67,2.87,RENT
230.0,DYNAMIC,54667.0,54667.0,7.68,3.87,BUY
70.0,DYNAMIC,46876.0,46876.0,2.34,4.13,RENT
39.0,DYNAMIC,26116.0,26116.0,1.3,2.1,RENT
49.0,DYNAMIC,32813.0,32813.0,1.64,2.24,RENT
70.0,DYNAMIC,46876.0,46876.0,2.34,3.14,RENT
46.0,DYNAMIC,30804.0,30804.0,1.54,1.07,BUY
95.0,DYNAMIC,54667.0,54667.0,3.17,3.15,BUY
40.0,DYNAMIC,26786.0,26786.0,1.34,1.46,RENT
48.1,DYNAMIC,32210.0,32210.0,1.61,2.85,RENT
34.0,DYNAMIC,22768.0,22768.0,1.14,0.81,BUY
22.0,DYNAMIC,16574.0,16574.0,0.73,1.19,RENT
112.0,DYNAMIC,54667.0,54667.0,3.74,1.88,BUY
231.0,DYNAMIC,54667.0,54667.0,7.71,5.34,BUY
50.0,DYNAMIC,33483.0,33483.0,1.67,2.84,RENT
240.0,DYNAMIC,54667.0,54667.0,8.02,4.04,BUY
45.0,DYNAMIC,30134.0,30134.0,1.5,2.4,RENT
30.0,DYNAMIC,22601.0,22601.0,1.0,0.9,BUY
105.0,DYNAMIC,54667.0,54667.0,3.51,5.49,RENT
135.0,DYNAMIC,54667.0,54667.0,4.51,3.12,BUY
38.0,DYNAMIC,25447.0,25447.0,1.27,1.43,RENT
450.0,DYNAMIC,54667.0,54667.0,15.03,7.57,BUY
70.0,DYNAMIC,46876.0,46876.0,2.34,4.16,RENT
106.0,DYNAMIC,54667.0,54667.0,3.54,1.78,BUY
35.0,DYNAMIC,23438.0,23438.0,1.17,1.92,RENT
75.0,DYNAMIC,50224.0,50224.0,2.5,3.44,RENT
32.2,DYNAMIC,21563.0,21563.0,1.08,1.39,RENT
120.0,DYNAMIC,54667.0,54667.0,4.01,4.21,RENT
14.0,DYNAMIC,10547.0,10547.0,0.47,0.11,BUY
86.0,DYNAMIC,53991.0,53991.0,2.87,4.9,RENT
190.0,DYNAMIC,54667.0,54667.0,6.35,3.2,BUY
108.0,DYNAMIC,54667.0,54667.0,3.61,3.21,BUY
117.0,DYNAMIC,54667.0,54667.0,3.91,2.5,BUY
155.0,DYNAMIC,54667.0,54667.0,5.18,4.53,BUY
42.4,DYNAMIC,28393.0,28393.0,1.42,0.79,BUY
81.0,DYNAMIC,50852.0,50852.0,2.71,3.48,RENT
310.0,DYNAMIC,54667.0,54667.0,10.35,5.21,BUY
660.0,DYNAMIC,54667.0,54667.0,22.04,11.1,BUY
40.0,DYNAMIC,26786.0,26786.0,1.34,2.11,RENT
240.0,DYNAMIC,54667.0,54667.0,8.02,4.04,BUY
53.0,DYNAMIC,35491.0,35491.0,1.77,2.37,RENT
95.9,DYNAMIC,54667.0,54667.0,3.2,3.78,RENT
115.0,DYNAMIC,54667.0,54667.0,3.84,5.48,RENT
140.0,DYNAMIC,54667.0,54667.0,4.68,4.96,RENT
22.0,DYNAMIC,16574.0,16574.0,0.73,1.03,RENT
70.6,DYNAMIC,47277.0,47277.0,2.36,3.6,RENT
60.1,DYNAMIC,40246.0,40246.0,2.01,2.4,RENT
90.0,DYNAMIC,54667.0,54667.0,3.01,5.16,RENT
145.0,DYNAMIC,54667.0,54667.0,4.84,6.19,RENT
27.0,DYNAMIC,20341.0,20341.0,0.9,0.87,BUY
72.0,DYNAMIC,48215.0,48215.0,2.4,3.7,RENT
82.0,DYNAMIC,51479.0,51479.0,2.74,4.37,RENT
220.0,DYNAMIC,54667.0,54667.0,7.35,6.3,BUY
40.0,DYNAMIC,26786.0,26786.0,1.34,2.3,RENT
44.0,DYNAMIC,29465.0,29465.0,1.47,2.0,RENT
88.0,DYNAMIC,54667.0,54667.0,2.94,1.48,BUY
42.0,DYNAMIC,28125.0,28125.0,1.4,2.3,RENT
55.0,DYNAMIC,36831.0,36831.0,1.84,3.34,RENT
300.0,DYNAMIC,54667.0,54667.0,10.02,5.67,BUY
45.0,DYNAMIC,30134.0,30134.0,1.5,1.52,RENT
35.0,DYNAMIC,23438.0,23438.0,1.17,1.25,RENT
85.0,DYNAMIC,53363.0,53363.0,2.84,3.53,RENT
200.0,DYNAMIC,54667.0,54667.0,6.68,4.68,BUY
30.0,DYNAMIC,22601.0,22601.0,1.0,1.7,RENT
16.5,DYNAMIC,12430.0,12430.0,0.55,0.42,BUY
35.0,DYNAMIC,23438.0,23438.0,1.17,1.65,RENT
23.0,DYNAMIC,17327.0,17327.0,0.77,0.55,BUY
72.0,DYNAMIC,48215.0,48215.0,2.4,4.1,RENT
33.0,DYNAMIC,22098.0,22098.0,1.1,1.82,RENT
47.0,DYNAMIC,31474.0,31474.0,1.57,1.71,RENT
40.0,DYNAMIC,26786.0,26786.0,1.34,2.01,RENT
69.0,DYNAMIC,46206.0,46206.0,2.3,3.42,RENT
78.0,DYNAMIC,48968.0,48968.0,2.6,4.79,RENT
35.0,DYNAMIC,23438.0,23438.0,1.17,1.59,RENT
98.0,DYNAMIC,54667.0,54667.0,3.27,4.57,RENT
85.0,DYNAMIC,53363.0,53363.0,2.84,4.39,RENT
198.0,DYNAMIC,54667.0,54667.0,6.61,4.73,BUY
17.0,DYNAMIC,12807.0,12807.0,0.57,0.63,RENT
72.0,DYNAMIC,48215.0,48215.0,2.4,3.2,RENT
75.0,DYNAMIC,50224.0,50224.0,2.5,4.3,RENT
55.0,DYNAMIC,36831.0,36831.0,1.84,2.69,RENT
62.0,DYNAMIC,41518.0,41518.0,2.07,3.48,RENT
60.0,DYNAMIC,40179.0,40179.0,2.0,2.87,RENT
215.0,DYNAMIC,54667.0,54667.0,7.18,3.62,BUY
140.0,DYNAMIC,54667.0,54667.0,4.68,2.35,BUY
12.5,DYNAMIC,9417.0,9417.0,0.42,0.29,BUY
30.0,DYNAMIC,22601.0,22601.0,1.0,1.1,RENT
35.0,DYNAMIC,23438.0,23438.0,1.17,1.55,RENT
78.0,DYNAMIC,48968.0,48968.0,2.6,3.26,RENT
85.0,DYNAMIC,53363.0,53363.0,2.84,4.52,RENT
55.0,DYNAMIC,36831.0,36831.0,1.84,2.88,RENT
49.5,DYNAMIC,33148.0,33148.0,1.65,2.22,RENT
45.0,DYNAMIC,30134.0,30134.0,1.5,0.61,BUY
50.0,DYNAMIC,33483.0,33483.0,1.67,0.67,BUY
44.0,DYNAMIC,29465.0,29465.0,1.47,0.98,BUY
135.0,DYNAMIC,54667.0,54667.0,4.51,2.27,BUY
685.0,DYNAMIC,54667.0,54667.0,22.88,11.52,BUY
55.0,DYNAMIC,36831.0,36831.0,1.84,1.29,BUY
24.0,DYNAMIC,18081.0,18081.0,0.8,0.24,BUY
32.0,DYNAMIC,21429.0,21429.0,1.07,0.43,BUY
26.0,DYNAMIC,19587.0,19587.0,0.87,0.87,RENT
169.0,DYNAMIC,54667.0,54667.0,5.64,2.84,BUY
