Name,Address,Bedrooms,Price,Rent,Area,Furnishing,Type,Match_Type,Price_Per_Sqft,Rent_Per_Sqft
"Chetla, Kolkata",chetla,2,6900000,25153,850.0,Unfurnished,buy,address_bedroom,8117.65,29.59
"Lake Town Block A, Lake Town Block A, Lake Town, Kolkata",lake town,2,4000000,12068,530.0,Semi-Furnished,buy,address_bedroom,7547.17,22.77
"Jadavpur, Kolkata",jadavpur,3,5500000,28031,1083.0,Semi-Furnished,buy,address_only,5078.49,25.88
"Diamond Tower Apartment, Diamond Tower Apartment, Alipore, Kolkata",alipore,4,27500000,210000,2309.0,Furnished,buy,exact_match,11909.92,90.95
"Sandhu Ekam Amar Sansaar, Sandhu Ekam Amar Sansaar, Bosepukur, Kasba, Kolkata",bosepukur,2,9700000,38084,873.0,Furnished,buy,address_only,11111.11,43.62
"DLF New Town Heights, DLF New Town Heights, Rajarhat, Kolkata",rajarhat,3,14500000,44630,1845.0,Semi-Furnished,buy,address_bedroom,7859.08,24.19
"Garia Main Road, Kolkata",garia main road,2,4000000,12988,606.0,Semi-Furnished,buy,address_only,6600.66,21.43
"Shriram Grand City, Shriram Grand City, Uttarpara Chinsurah, Kolkata",uttarpara,2,4000000,16000,827.0,Unfurnished,buy,exact_match,4836.76,19.35
"Magnolia Sports City, Magnolia Sports City, Barrackpore, Kolkata",barrackpore,3,5100000,11624,1156.0,Unfurnished,buy,address_only,4411.76,10.06
"Sector 5 Salt Lake City, Kolkata",sector 5 salt lake city,3,8500000,40000,950.0,Semi-Furnished,buy,exact_match,8947.37,42.11
"Sonar Tori Apartment, Sonar Tori Apartment, Dum Dum, Kolkata",dum dum,2,6000000,19365,1149.0,Furnished,buy,address_bedroom,5221.93,16.85
"Mrinalini Residency, Mrinalini Residency, Belgachia, Kolkata",belgachia,3,4500000,22143,930.0,Unfurnished,buy,bedroom_only,4838.71,23.81
"Utsav Utsharga, Utsav Utsharga, Santoshpur, Kolkata",santoshpur,2,3600000,10000,532.0,Unfurnished,buy,exact_match,6766.92,18.8
"Shanti Apartment, Shanti Apartment, North Dumdum, Kolkata",north dum dum,3,5500000,24214,1017.0,Furnished,buy,bedroom_only,5408.06,23.81
"Rajarhat, Kolkata",rajarhat,2,3200000,25000,729.0,Semi-Furnished,buy,exact_match,4389.57,34.29
"Metropolitan Cooperative Housing Society, Metropolitan Cooperative Housing Society, Metropolitan Co Operative Housing Society Limited, Kolkata",metropolitan,5,16000000,58380,2085.0,Unfurnished,buy,address_only,7673.86,28.0
