Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing
"3 BHK Apartment for Sale in Sugam Park, Narendrapur Rajpur Sonarpur Kolkata",Kolkata,"Narendrapur, Kolkata",3,60 Lac,N/A,890,6742,Unfurnished
"2 BHK Apartment for Sale in NBCC Vibgyor Towers, New Town Kolkata",Kolkata,"New Town, Kolkata",2,75 Lac,N/A,1094,6855,Unfurnished
"4 BHK Apartment for Sale in Bengal Peerless Avidipta, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",4,2.15 Cr,N/A,1650,13030,Semi-Furnished
"2 BHK Apartment for Sale in Upohar The Condoville, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",2,95 Lac,N/A,918,10349,Unfurnished
"3 BHK Builder Floor for Sale in Realtech Rajvansh, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,54.3 Lac,N/A,1206,4500,Unfurnished
"6 BHK Apartment for Sale in South City, Prince Anwar Shah Road Kolkata",Kolkata,N/A,6,6 Cr,N/A,2930,N/A,Unfurnished
"3 BHK Apartment for Sale in Hiland Park, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,1.10 Cr,N/A,1328,8283,Unfurnished
"3 BHK Apartment for Sale in Rohra Imperial, New Town Kolkata",Kolkata,"New Town, Kolkata",3,57.5 Lac,N/A,1045,5500,Unfurnished
"3 BHK Apartment for Sale in Urbana NRI Complex, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,5.45 Cr,N/A,3127,17428,Unfurnished
"3 BHK Apartment for Sale in Danish Red Salute Cooperative Housing Society Ltd, Action Area 3 Kolkata",Kolkata,"Action Area 3, Kolkata",3,88.6 Lac,N/A,1650,5367,Unfurnished
"3 BHK Apartment for Sale in Supreme Residency, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,65 Lac,N/A,725,8966,Unfurnished
"4 BHK Apartment for Sale in Merlin Avana, Tollygunge Kolkata",Kolkata,"Tollygunge, Kolkata",4,1.57 Cr,N/A,1933,8173,Unfurnished
"2 BHK Apartment for Sale in Merlin Rise Sports Republic Phase 1 A, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,56 Lac,N/A,950,7466,Unfurnished
3 BHK Apartment for Sale in Rajarhat Kolkata,Kolkata,"Rajarhat, Kolkata",3,45.5 Lac,N/A,1109,4098,Unfurnished
"2 BHK Apartment for Sale in GM Meena Prime, Airport Area Kolkata",Kolkata,"Airport Area, Kolkata",2,45.6 Lac,N/A,591,7722,Unfurnished
"3 BHK Apartment for Sale in Neelkanth Chitrakut Heights, New Town Kolkata",Kolkata,"New Town, Kolkata",3,77.3 Lac,N/A,1187,6510,Unfurnished
"3 BHK Apartment for Sale in HIVE URBAN UTOPIA, New Town Kolkata",Kolkata,N/A,3,62.3 Lac,N/A,1186,N/A,Unfurnished
"2 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,55 Lac,N/A,900,6000,Unfurnished
"2 BHK Apartment for Sale in Utalika Luxury Phase 5, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",2,80 Lac,N/A,485,16495,Unfurnished
"4 BHK Apartment for Sale in SRIPSK Palladina, Eastern Metropolitan Bypass Kolkata",Kolkata,N/A,4,6 Cr,N/A,3350,N/A,Unfurnished
"3 BHK Apartment for Sale in Vinayak, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.20 Cr,N/A,1556,14139,Unfurnished
"3 BHK Apartment for Sale in Diamond City South, Tollygunge Kolkata",Kolkata,"Tollygunge, Kolkata",3,1.12 Cr,N/A,1100,10182,Unfurnished
"2 BHK Apartment for Sale in Mani Casa, New Town Kolkata",Kolkata,"New Town, Kolkata",2,1.30 Cr,N/A,880,14772,Unfurnished
"2 BHK Apartment for Sale in Rechi Anandi Enclave, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,52 Lac,N/A,700,7429,Unfurnished
6 BHK House for Sale in Kasba Kolkata,Kolkata,"Kasba, Kolkata",6,3.50 Cr,N/A,2200,15909,Semi-Furnished
"2 BHK Apartment for Sale in Bengal Peerless Avidipta Phase 2, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",2,85 Lac,N/A,689,12337,Unfurnished
"3 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",Kolkata,"New Alipore, Kolkata",3,2.39 Cr,N/A,1500,15999,Unfurnished
"4 BHK Apartment for Sale in SRIPSK Palladina, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",4,5.70 Cr,N/A,3500,16285,Unfurnished
"3 BHK Apartment for Sale in 77 Estates, Chetla Kolkata",Kolkata,"Chetla, Kolkata",3,1.40 Cr,N/A,1048,13359,Semi-Furnished
"3 BHK Apartment for Sale in Ambuja Urvisha The Condoville, New Town Kolkata",Kolkata,"New Town, Kolkata",3,2.15 Cr,N/A,1559,13791,Unfurnished
"5 BHK Apartment for Sale in PS ONE10, New Town Kolkata",Kolkata,"New Town, Kolkata",5,4.75 Cr,N/A,2800,16964,Unfurnished
"3 BHK Apartment for Sale in Anudip Grandeur, Kasba Kolkata",Kolkata,"Kasba, Kolkata",3,1.27 Cr,N/A,1024,12480,Unfurnished
"4 BHK Apartment for Sale in Belani NPR Sanctuary, Tollygunge Kolkata",Kolkata,"Tollygunge, Kolkata",4,7.10 Cr,N/A,2706,26237,Unfurnished
2 BHK Apartment for Sale in Gopalpur Kolkata,Kolkata,"Gopalpur, Kolkata",2,43.8 Lac,N/A,717,6107,Unfurnished
"4 BHK Apartment for Sale in Bengal Urbana Phase 2, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",4,6.90 Cr,N/A,4473,15426,Unfurnished
"5 BHK Apartment for Sale in Orbit Urban Park, Action Area 2 Kolkata",Kolkata,"Action Area 2, Kolkata",5,5.83 Cr,N/A,3200,18219,Unfurnished
"4 BHK Villa for Sale in Forum Legacy, Action Area 2 Kolkata",Kolkata,"Action Area 2, Kolkata",4,3.90 Cr,N/A,2492,15650,Unfurnished
"3 BHK Apartment for Sale in Bengal Urbana Phase 2, Anandapur Kolkata",Kolkata,N/A,3,4.25 Cr,N/A,1507,N/A,Semi-Furnished
"3 BHK Apartment for Sale in Bengal Urbana Phase 2, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",3,4.30 Cr,N/A,2550,16862,Unfurnished
"3 BHK Apartment for Sale in Srijan Solus, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",3,78 Lac,N/A,800,9750,Unfurnished
2 BHK Apartment for Sale in Kalaberia Kolkata,Kolkata,"Kalaberia, Kolkata",2,60 Lac,N/A,694,8646,Furnished
2 BHK Apartment for Sale in Kalaberia Kolkata,Kolkata,N/A,2,60 Lac,N/A,695,N/A,Furnished
3 BHK Apartment for Sale in Elgin Kolkata,Kolkata,"Elgin, Kolkata",3,4 Cr,N/A,1800,22222,Furnished
"3 BHK Apartment for Sale in Realmark Seasonss, Joka Kolkata",Kolkata,"Joka, Kolkata",3,80 Lac,N/A,950,8421,Unfurnished
"3 BHK Apartment for Sale in Adross Radharani Housing Complex, Basunagar Kolkata",Kolkata,"Basunagar, Kolkata",3,45 Lac,N/A,695,6472,Unfurnished
"2 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,86 Lac,N/A,646,13313,Unfurnished
"2 BHK Apartment for Sale in Tattvam Eden Group, Manicktala Kolkata",Kolkata,"Manicktala, Kolkata",2,1.27 Cr,N/A,1077,11878,Unfurnished
"3 BHK Apartment for Sale in F Residences Merlin, Narayanpur, Gopalpur Gram Kolkata",Kolkata,"Narayanpur, Kolkata",3,1.37 Cr,N/A,986,13976,Unfurnished
"3 BHK Apartment for Sale in PS Jade Grove, Entally Kolkata",Kolkata,"Entally, Kolkata",3,1.15 Cr,N/A,850,13529,Semi-Furnished
"2 BHK Apartment for Sale in Chinar Park, Rajarhat Kolkata",Kolkata,"Chinar Park, Kolkata",2,62.6 Lac,N/A,920,6800,Unfurnished
"2 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,79 Lac,N/A,586,13481,Unfurnished
"3 BHK Apartment for Sale in Vinayak, Action Area 1 Kolkata",Kolkata,N/A,3,1.90 Cr,N/A,1200,N/A,Unfurnished
"4 BHK Apartment for Sale in A N Atreyaa, Lake Town Kolkata",Kolkata,"Lake Town, Kolkata",4,1.96 Cr,N/A,2314,8500,Unfurnished
"3 BHK Apartment for Sale in ANANDI VISTA, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,66.1 Lac,N/A,1539,4292,Unfurnished
