Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing
"3 BHK Apartment for Sale in Godrej Seven, Joka Kolkata",Kolkata,"Joka, Kolkata",3,75 Lac,N/A,1215,6173,Unfurnished
5 BHK House for Sale in Dakshindari Road Kolkata,Kolkata,"Dakshindari Road, Kolkata",5,2.30 Cr,N/A,2492,9229,Semi-Furnished
2 BHK Apartment for Sale in Rabindra Sarobar Kolkata,Kolkata,"Rabindra Sarobar, Kolkata",2,1.30 Cr,N/A,900,14444,Unfurnished
"2 BHK Apartment for Sale in Chinar Park, Rajarhat Kolkata",Kolkata,"Chinar Park, Kolkata",2,45 Lac,N/A,650,6923,Semi-Furnished
8 BHK House for Sale in Anandapur Kolkata,Kolkata,"Omega By Chemi Co, Kolkata",8,2.50 Cr,N/A,1400,17857,Semi-Furnished
"2 BHK Apartment for Sale in Hiland Greens, Maheshtala Kolkata",Kolkata,"Maheshtala, Kolkata",2,32 Lac,N/A,712,4494,Unfurnished
"2 BHK Apartment for Sale in Vedic Green Tech City, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,30 Lac,N/A,950,3158,Unfurnished
6 BHK House for Sale in Gondol Para Kolkata,Kolkata,"Gondol Para, Kolkata",6,3.20 Cr,N/A,3200,10000,Furnished
4 BHK House for Sale in Baranagar Kolkata,Kolkata,"Baranagar, Kolkata",4,1.40 Cr,N/A,1160,12069,Semi-Furnished
3 BHK Apartment for Sale in Harinavi Kolkata,Kolkata,"Harinavi, Kolkata",3,32 Lac,N/A,609,5255,Unfurnished
3 BHK Apartment for Sale in Kestopur Kolkata,Kolkata,"Kestopur, Kolkata",3,40 Lac,N/A,1176,3401,Furnished
3 BHK House for Sale in Madhyamgram Kolkata,Kolkata,"Madhyamgram, Kolkata",3,1.50 Cr,N/A,2600,5769,Semi-Furnished
2 BHK Apartment for Sale in Nagerbazar Kolkata,Kolkata,"Nagerbazar, Kolkata",2,45 Lac,N/A,741,6073,Unfurnished
2 BHK Apartment for Sale in Baguiati Kolkata,Kolkata,"Baguiati, Kolkata",2,21 Lac,N/A,772,2720,Unfurnished
"3 BHK Apartment for Sale in Sherwood Estate, Narendrapur Rajpur Sonarpur Kolkata",Kolkata,"Narendrapur, Kolkata",3,68 Lac,N/A,1286,5288,Semi-Furnished
4 BHK House for Sale in Shobhabazar Kolkata,Kolkata,"Shobha Bazar, Kolkata",4,1.95 Cr,N/A,1600,12188,Unfurnished
3 BHK Apartment for Sale in Dum Dum Park Kolkata,Kolkata,"Dum Dum Park, Kolkata",3,75 Lac,N/A,1194,6281,Furnished
3 BHK House for Sale in Safui Para Kolkata,Kolkata,"Safui Para, Kolkata",3,1.60 Cr,N/A,810,19753,Unfurnished
"3 BHK Villa for Sale in Srijan Nirvana, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,1.15 Cr,N/A,1483,7755,Unfurnished
3 BHK House for Sale in Baruipur Amtala Road Kolkata,Kolkata,"Baruipur Amtala Road, Kolkata",3,1.85 Cr,N/A,13,1977,Unfurnished
6 BHK House for Sale in Airport Area Kolkata,Kolkata,"Airport Area, Kolkata",6,95 Lac,N/A,1480,6419,Unfurnished
3 BHK House for Sale in Nepalgange Kolkata,Kolkata,"Nepalgange, Kolkata",3,30.2 Lac,N/A,1440,2097,Furnished
"2 BHK Apartment for Sale in Fortune City, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",2,40 Lac,N/A,1015,3940,Unfurnished
"2 BHK Apartment for Sale in Howrah, Kolkata Kolkata",Kolkata,"Howrah, Kolkata, Kolkata",2,58 Lac,N/A,1000,5800,Semi-Furnished
"2 BHK Apartment for Sale in Rupayan Su Casa Twins, Rajpur Kolkata",Kolkata,"Rajpur, Kolkata",2,60 Lac,N/A,896,6696,Unfurnished
"1 BHK Apartment for Sale in Birati, Birati Kolkata",Kolkata,"Birati, Kolkata",1,14.8 Lac,N/A,404,3663,Furnished
"2 BHK Apartment for Sale in Ganguly Bagan, Beliaghata Kolkata",Kolkata,"Ganguly Bagan, Kolkata",2,36 Lac,N/A,750,4800,Semi-Furnished
4 BHK Villa for Sale in Joka Kolkata,Kolkata,"Joka, Kolkata",4,1.40 Cr,N/A,2150,6512,Unfurnished
"1 BHK Apartment for Sale in Srijan Green Field City , Green Field City Kolkata",Kolkata,"Green Field City, Kolkata",1,14 Lac,N/A,445,3146,Unfurnished
"2 BHK Apartment for Sale in Picnic Garden, Tiljala Kolkata",Kolkata,"Picnic Garden, Kolkata",2,25 Lac,N/A,600,4167,Furnished
2 BHK Apartment for Sale in Barrackpore Palta Road Kolkata,Kolkata,"Barrackpore Palta Road, Kolkata",2,20 Lac,N/A,550,3636,Unfurnished
"3 BHK Apartment for Sale in Ideal Aurum, Sonarpur Kolkata",Kolkata,"Sonarpur, Kolkata",3,70 Lac,N/A,782,8951,Unfurnished
6 BHK House for Sale in Baruipur Kolkata,Kolkata,"Baruipur, Kolkata",6,1 Cr,N/A,3,4630,Semi-Furnished
2 BHK Apartment for Sale in RBC ROAD EXTENSION Kolkata,Kolkata,"RBC ROAD EXTENSION, Kolkata",2,28 Lac,N/A,663,4223,Semi-Furnished
"4 BHK Apartment for Sale in Vinayak Vista, Laketown Kolkata",Kolkata,"Laketown, Kolkata",4,2.05 Cr,N/A,1400,14643,Unfurnished
2 BHK Apartment for Sale in 350 Krishna Appartment Salt Lake City sector 5 kolkata 700102 Kolkata,Kolkata,"350 Krishna Appartment Salt Lake City sector 5 kolkata 700102, Kolkata",2,49 Lac,N/A,850,5765,Semi-Furnished
3 BHK Apartment for Sale in Dum Dum Cantonment Kolkata,Kolkata,"Dum Dum Cantonment, Kolkata",3,63 Lac,N/A,1734,3633,Unfurnished
"3 BHK Apartment for Sale in Magnolia Nakshatra, Barasat Kolkata",Kolkata,"Barasat, Kolkata",3,35 Lac,N/A,916,3821,Semi-Furnished
2 BHK Apartment for Sale in Motilal Gupta Road Kolkata,Kolkata,"Motilal Gupta Road, Kolkata",2,34 Lac,N/A,820,4146,Furnished
4 BHK House for Sale in Parnasree Palli Kolkata,Kolkata,"Parnasree, Kolkata",4,2.20 Cr,N/A,2700,8148,Furnished
8 BHK House for Sale in Chinsurah Kolkata,Kolkata,"Hooghly-Chinsurah, Kolkata",8,2 Cr,N/A,3500,5714,Semi-Furnished
"3 BHK Apartment for Sale in Madurdaha, Hussainpur Kolkata",Kolkata,"Madurdaha, Kolkata",3,76 Lac,N/A,1120,6786,Semi-Furnished
3 BHK Apartment for Sale in Bagmari Kolkata,Kolkata,"Bagmari, Kolkata",3,1.60 Cr,N/A,983,16277,Unfurnished
3 BHK Apartment for Sale in C I T Road Park circus Kolkata,Kolkata,"C I T Road Park circus, Kolkata",3,1.15 Cr,N/A,1100,10455,Semi-Furnished
"3 BHK Apartment for Sale in Bengal Urbana Phase 2, Anandapur Kolkata",Kolkata,"Anandapur, Kolkata",3,6 Cr,N/A,3127,19188,Unfurnished
2 BHK Apartment for Sale in Ariadaha Kolkata,Kolkata,"Ariadaha, Kolkata",2,32.5 Lac,N/A,785,4140,Semi-Furnished
2 BHK Apartment for Sale in Tollygunge Kolkata,Kolkata,"Tollygunge, Kolkata",2,30 Lac,N/A,646,4644,Furnished
"2 BHK Apartment for Sale in Budge budge Santoshpur, Maheshtala Municipality Kolkata",Kolkata,"Budge budge Santoshpur, Maheshtala Municipality, Kolkata",2,22 Lac,N/A,816,2696,Unfurnished
"2 BHK Apartment for Sale in Bangur Avenue, Bangur Avenue, Lake Town Kolkata",Kolkata,"Bangur Avenue, Kolkata",2,58 Lac,N/A,1100,5273,Semi-Furnished
2 BHK Apartment for Sale in Alcove new Kolkata sreerampore Kolkata,Kolkata,"Alcove new Kolkata sreerampore, Kolkata",2,38.5 Lac,N/A,884,4355,Unfurnished
2 BHK Apartment for Sale in Kalim Sapphire Kolkata,Kolkata,"Kalim Sapphire, Kolkata",2,1.20 Cr,N/A,1256,9554,Unfurnished
2 BHK Builder Floor for Sale in Dum Dum Cantonment Kolkata,Kolkata,"Dum Dum Cantonment, Kolkata",2,35 Lac,N/A,980,3571,Semi-Furnished
"2 BHK Apartment for Sale in Hiland Greens, Batanagar Kolkata",Kolkata,"Batanagar, Kolkata",2,23 Lac,N/A,548,4197,Unfurnished
"1 BHK Apartment for Sale in Kendriya Vihar Phase 2, Belghoria Expressway Kolkata",Kolkata,"Belghoria Expressway, Kolkata",1,46 Lac,N/A,600,7667,Semi-Furnished
"1 BHK Apartment for Sale in Bangur Avenue, Bangur Avenue, Lake Town Kolkata",Kolkata,"Bangur Avenue, Kolkata",1,27.5 Lac,N/A,300,9167,Semi-Furnished
3 BHK Apartment for Sale in Residential Apartment Kolkata,Kolkata,"Residential Apartment, Kolkata",3,80 Lac,N/A,1200,6667,Furnished
3 BHK Villa for Sale in Behala Kolkata,Kolkata,"Behala, Kolkata",3,1.20 Cr,N/A,1500,8000,Semi-Furnished
2 BHK Apartment for Sale in Batanagar Kolkata,Kolkata,"Batanagar, Kolkata",2,14 Lac,N/A,723,1936,Unfurnished
2 BHK Builder Floor for Sale in Baranagar Kolkata,Kolkata,"Baranagar, Kolkata",2,25 Lac,N/A,700,3571,Unfurnished
"1 BHK Apartment for Sale in Eden Meghbalika, Baruipur Kolkata",Kolkata,"Baruipur, Kolkata",1,18 Lac,N/A,435,4138,Unfurnished
5 BHK Penthouse for Sale in Ruby Hospital Area Kolkata,Kolkata,"Ruby General Hospital, Kolkata",5,6.50 Cr,N/A,4024,16153,Semi-Furnished
"3 BHK Apartment for Sale in Siddha Town, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,38.8 Lac,N/A,980,3959,Unfurnished
"3 BHK Apartment for Sale in Bengal Greenfield Oasis, Thakurpukur Kolkata",Kolkata,"Thakurpukur, Kolkata",3,51 Lac,N/A,1389,3672,Unfurnished
"3 BHK Villa for Sale in The Orchid Grandeur, Bishnupur Kolkata",Kolkata,"Bishnupur, Kolkata",3,1.25 Cr,N/A,2500,5000,Furnished
"1 BHK Apartment for Sale in Jeevandip Apartments, Sibachal Road, Kolkata-700049 Kolkata",Kolkata,"Jeevandip Apartments, Sibachal Road, Kolkata-700049, Kolkata",1,23 Lac,N/A,585,3932,Unfurnished
"3 BHK Apartment for Sale in LGS Bougainville, Tollygunge Kolkata",Kolkata,"Tollygunge, Kolkata",3,1.40 Cr,N/A,1200,11667,Semi-Furnished
"2 BHK Apartment for Sale in Sureka Elita Garden Vista, New Town Kolkata",Kolkata,"New Town, Kolkata",2,1.01 Cr,N/A,1000,10100,Unfurnished
"2 BHK Builder Floor for Sale in Batanagar, Maheshtala Kolkata",Kolkata,"Batanagar, Maheshtala, Kolkata",2,17 Lac,N/A,615,2764,Semi-Furnished
2 BHK Apartment for Sale in 4 no. sonargaon gate sonarpur Kolkata,Kolkata,"4 no. sonargaon gate sonarpur, Kolkata",2,20.5 Lac,N/A,642,3193,Semi-Furnished
"3 BHK Apartment for Sale in Periwall Essense, Howrah Kolkata",Kolkata,"Howrah, Kolkata",3,1.06 Cr,N/A,1526,6967,Unfurnished
3 BHK Apartment for Sale in Near Avisikta 1 Kolkata,Kolkata,"Near Avisikta 1, Kolkata",3,65 Lac,N/A,1000,6500,Unfurnished
"5 BHK House for Sale in Baishnabghata Patuli Township, Patuli Kolkata",Kolkata,"Baishnabghata Patuli Township, Kolkata",5,85 Lac,N/A,800,10625,Furnished
"3 BHK Apartment for Sale in Eden Richmond Park, Narendrapur Rajpur Sonarpur Kolkata",Kolkata,"Narendrapur, Kolkata",3,72 Lac,N/A,1150,6261,Furnished
"3 BHK House for Sale in Srijan Botanica, Sonarpur Kolkata",Kolkata,,3,1.75 Cr,N/A,1781,9826,Unfurnished
"3 BHK Apartment for Sale in Eden City Maheshtala, Maheshtala Kolkata",Kolkata,"Maheshtala, Kolkata",3,40 Lac,N/A,988,4049,Semi-Furnished
2 BHK Builder Floor for Sale in Topsia Road Kolkata,Kolkata,"Topsia Road, Kolkata",2,15.5 Lac,N/A,675,2300,Unfurnished
"3 BHK Apartment for Sale in Orbit Lumiere, Barrackpore Trunk Road Kolkata",Kolkata,"Barrackpore Trunk Road, Kolkata",3,1.80 Cr,N/A,1290,13953,Unfurnished
3 BHK Apartment for Sale in Raghav River View Kolkata,Kolkata,"Raghav River View, Kolkata",3,1.50 Cr,N/A,1100,13636,Furnished
"2 BHK Apartment for Sale in Shree Tower VII, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,47 Lac,N/A,750,6267,Semi-Furnished
"2 BHK Apartment for Sale in Ambuja Urvisha The Condoville, Action Area 1 Kolkata",Kolkata,"Action Area 1, Kolkata",2,1.60 Cr,N/A,780,20513,Unfurnished
2 BHK Apartment for Sale in Sector H East Kolkata Township Kolkata,Kolkata,"Sector H East Kolkata Township, Kolkata",2,40 Lac,N/A,998,4008,Semi-Furnished
"2 BHK Apartment for Sale in Magnolia Prestige, Bishnupur Kolkata",Kolkata,"Bishnupur, Kolkata",2,32 Lac,N/A,967,3309,Furnished
2 BHK Apartment for Sale in p 16 Garia Park Kolkata,Kolkata,"p 16 Garia Park, Kolkata",2,26 Lac,N/A,900,2889,Semi-Furnished
5 BHK House for Sale in Jalkal Kolkata,Kolkata,"Jalkal, Kolkata",5,63 Lac,N/A,2400,2625,Furnished
6 BHK Builder Floor for Sale in 1 B BUS STAND Kolkata,Kolkata,"1 B BUS STAND, Kolkata",6,1.75 Cr,N/A,4286,4083,Unfurnished
"1 BHK Apartment for Sale in Siddha Waterfront, Khardaha Kolkata",Kolkata,"Khardah, Kolkata",1,25 Lac,N/A,630,3968,Unfurnished
"2 BHK Apartment for Sale in Ananya Apartment, Serampore Kolkata",Kolkata,"R.M.D.Garden Lane , Kolkata-700010, Kolkata",2,1.25 Cr,N/A,900,5555,Unfurnished
"3 BHK Apartment for Sale in Godrej Seven, Godrej Seven, Joka, Kolkata,Godrej Seven, Joka, Kolkata Kolkata",Kolkata,N/A,3,70 Lac,N/A,1107,N/A,Furnished
6 BHK Villa for Sale in Khardaha Kolkata,Kolkata,"Khardah, Kolkata",6,1.75 Cr,N/A,2800,6250,Furnished
"3 BHK Apartment for Sale in Simoco Sanhita Housing Complex Commercial , Bhangar Kolkata",Kolkata,"Bhangar, Kolkata",3,38 Lac,N/A,916,4148,Unfurnished
"3 BHK Apartment for Sale in Srijan Midlands, Jessore Road Kolkata",Kolkata,"Jessore Road, Kolkata",3,65 Lac,N/A,1100,5909,Semi-Furnished
3 BHK Apartment for Sale in Kolkata,Kolkata,"Anisabad, Kolkata",3,1.85 Cr,N/A,1200,15417,Unfurnished
"2 BHK Apartment for Sale in HILAND ELGIN, Maheshtala Kolkata",Kolkata,"Maheshtala, Kolkata",2,31.3 Lac,N/A,895,3500,Unfurnished
"2 BHK Apartment for Sale in HILAND ELGIN, Maheshtala Kolkata",Kolkata,"Maheshtala, Kolkata",2,21 Lac,N/A,750,2800,Unfurnished
"4 BHK Apartment for Sale in Aspirations Aloft, Shakespeare Sarani Kolkata",Kolkata,"Shakespeare Sarani Road, Kolkata",4,4.29 Cr,N/A,2455,17475,Unfurnished
"4 BHK Apartment for Sale in Aspirations Aloft, Shakespeare Sarani Kolkata",Kolkata,"Shakespeare Sarani Road, Kolkata",4,4.16 Cr,N/A,2315,18000,Unfurnished
"4 BHK Apartment for Sale in Aspirations Aloft, Shakespeare Sarani Kolkata",Kolkata,"Shakespeare Sarani Road, Kolkata",4,3.70 Cr,N/A,2315,16000,Unfurnished
"4 BHK Apartment for Sale in Aspirations Aloft, Shakespeare Sarani Kolkata",Kolkata,"Shakespeare Sarani Road, Kolkata",4,3.70 Cr,N/A,2315,16000,Unfurnished
"4 BHK Apartment for Sale in Multicon Narayani, Ballygunge Kolkata",Kolkata,"Ballygunge, Kolkata",4,1.96 Cr,N/A,2110,9300,Unfurnished
"3 BHK Apartment for Sale in Multicon Narayani, Ballygunge Kolkata",Kolkata,"Ballygunge, Kolkata",3,1.90 Cr,N/A,1958,9704,Unfurnished
"4 BHK Apartment for Sale in Euphoria, Ballygunge Circular Road Kolkata",Kolkata,"Ballygunge Circular Road, Kolkata",4,6 Cr,N/A,3600,16667,Unfurnished
"4 BHK Apartment for Sale in Loudon Star, Loudon Street Kolkata",Kolkata,"Loudon Street, Kolkata",4,6.50 Cr,N/A,3400,19118,Unfurnished
2 BHK Apartment for Sale in Nayabad Kolkata,Kolkata,"Nayabad, Kolkata",2,40 Lac,N/A,910,4396,Semi-Furnished
"2 BHK Apartment for Sale in Salarpuria Suncrest Estate, Rajpur Kolkata",Kolkata,"Rajpur, Kolkata",2,29.1 Lac,N/A,869,3350,Unfurnished
"2 BHK Apartment for Sale in Salarpuria Suncrest Estate, Dakshin Srirampur, Rajpur Kolkata",Kolkata,"Dakshin Srirampur, Kolkata",2,29.1 Lac,N/A,869,3350,Unfurnished
"2 BHK Apartment for Sale in Salarpuria Suncrest Estate, Rajpur Kolkata",Kolkata,"Rajpur, Kolkata",2,29.1 Lac,N/A,869,3350,Unfurnished
"2 BHK Apartment for Sale in Salarpuria Suncrest Estate, Rajpur Kolkata",Kolkata,"Rajpur, Kolkata",2,26.5 Lac,N/A,869,3050,Unfurnished
2 BHK House for Sale in Roychak Kolkata,Kolkata,"Raichak, Kolkata",2,79 Lac,N/A,2540,3110,Semi-Furnished
"4 BHK House for Sale in Haridevpur, Paschim Putiary Kolkata",Kolkata,"Haridevpur, Kolkata",4,80 Lac,N/A,3240,2469,Semi-Furnished
"2 BHK Apartment for Sale in Gangour Residency, Kestopur Kolkata",Kolkata,"Kestopur, Kolkata",2,38 Lac,N/A,844,4502,Semi-Furnished
"3 BHK Apartment for Sale in Multicon Narayani, Ballygunge Kolkata",Kolkata,"Ballygunge, Kolkata",3,1.82 Cr,N/A,1959,9301,Unfurnished
"3 BHK Apartment for Sale in Multicon Narayani, Ballygunge Kolkata",Kolkata,"Ballygunge, Kolkata",3,1.82 Cr,N/A,1958,9300,Unfurnished
"4 BHK Apartment for Sale in Euphoria, Ballygunge Circular Road Kolkata",Kolkata,"Ballygunge Circular Road, Kolkata",4,5.76 Cr,N/A,3600,16000,Unfurnished
"4 BHK Apartment for Sale in Loudon Star, Loudon Street Kolkata",Kolkata,"Loudon Street, Kolkata",4,6.35 Cr,N/A,3406,18644,Unfurnished
"3 BHK Apartment for Sale in Loudon Star, Loudon Street Kolkata",Kolkata,"Loudon Street, Kolkata",3,6.25 Cr,N/A,3575,17483,Unfurnished
"3 BHK Apartment for Sale in Loudon Star, Loudon Street Kolkata",Kolkata,"Loudon Street, Kolkata",3,6.25 Cr,N/A,3575,17483,Unfurnished
"2 BHK Apartment for Sale in HILAND ELGIN, Maheshtala Kolkata",Kolkata,"Maheshtala, Kolkata",2,25 Lac,N/A,900,2778,Unfurnished
"3 BHK Apartment for Sale in Eden City Maheshtala, Maheshtala Kolkata",Kolkata,"Maheshtala, Kolkata",3,51 Lac,N/A,1524,3346,Unfurnished
"1 BHK Apartment for Sale in Siddha Waterfront, Khardaha Kolkata",Kolkata,"Khardah, Kolkata",1,23 Lac,N/A,635,3622,Semi-Furnished
"2 BHK Apartment for Sale in Ruchi Angelica Towers at Active Acres, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",2,1.10 Cr,N/A,1276,8621,Unfurnished
2 BHK House for Sale in Ghoraras Ghona Road Kolkata,Kolkata,"Ghoraras Ghona Road, Kolkata",2,1.50 Cr,N/A,1200,12500,Semi-Furnished
"3 BHK Apartment for Sale in Biren Roy Road (W) Chowrashtra Behala, Atghara Newtown Kolkata",Kolkata,"Atghara, Kolkata",3,1 Cr,N/A,1300,7692,Unfurnished
"3 BHK Apartment for Sale in PS The Address, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,2.80 Cr,N/A,2440,11475,Unfurnished
"2 BHK Apartment for Sale in Balasaria Ambika Icon, Raja Rammohan Roy Road Kolkata",Kolkata,"Raja Rammohan Roy Road, Kolkata",2,1.25 Cr,N/A,925,13514,Furnished
"5 BHK House for Sale in SHANTI COTTAGE Kunj, New Alipore Kolkata",Kolkata,,5,2.50 Cr,N/A,2500,10000,Semi-Furnished
"3 BHK Apartment for Sale in The Ivory Tower, Tollygunge Kolkata",Kolkata,"Tollygunge, Kolkata",3,1.95 Cr,N/A,1656,11775,Furnished
"4 BHK House for Sale in OAS Lake Life Township, Joka Kolkata",Kolkata,,4,1.12 Cr,N/A,2610,4291,Unfurnished
"3 BHK Apartment for Sale in Merlin The Fourth, Sector 5 Salt Lake City Kolkata",Kolkata,"Sector 5 Salt Lake City, Kolkata",3,2.80 Cr,N/A,1500,18667,Semi-Furnished
3 BHK Apartment for Sale in Trisha Apartment Kolkata,Kolkata,"Trisha Apartment, Kolkata",3,42 Lac,N/A,1100,3818,Unfurnished
"2 BHK Apartment for Sale in Unimark Springfield, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,57.5 Lac,N/A,950,6053,Unfurnished
"3 BHK Apartment for Sale in Eden Sky Terraces, Nayabad Kolkata",Kolkata,"Nayabad, Kolkata",3,1.20 Cr,N/A,1419,8457,Semi-Furnished
7 BHK House for Sale in Baguiati Kolkata,Kolkata,"Baguiati, Kolkata",7,1.50 Cr,N/A,2500,6000,Unfurnished
"2 BHK Apartment for Sale in Shrachi Greenwood Nest, New Town Kolkata",Kolkata,"New Town, Kolkata",2,1.10 Cr,N/A,745,14765,Furnished
5 BHK House for Sale in Berachampa Kolkata,Kolkata,"Berachampa, Kolkata",5,1.50 Cr,N/A,1500,10000,Semi-Furnished
"5 BHK Apartment for Sale in Brindavan Gardens, Tangra Kolkata",Kolkata,"Tangra, Kolkata",5,2.20 Cr,N/A,1700,12941,Furnished
3 BHK House for Sale in Jafarpur Barrackpore Kolkata,Kolkata,"Jafarpur Barrackpore, Kolkata",3,1.50 Cr,N/A,3600,4167,Unfurnished
"2 BHK Apartment for Sale in Uttarpara Kotrung, Kolkata Kolkata",Kolkata,"Uttarpara Kotrung, Kolkata, Kolkata",2,40 Lac,N/A,865,4624,Semi-Furnished
"3 BHK Apartment for Sale in Regent Sonarpur, Garia Kolkata",Kolkata,"Garia, Kolkata",3,55 Lac,N/A,1392,3951,Unfurnished
"3 BHK Apartment for Sale in Regent Sonarpur, Garia Kolkata",Kolkata,"Garia, Kolkata",3,43.7 Lac,N/A,1100,3973,Unfurnished
"2 BHK Apartment for Sale in Regent Sonarpur, Garia Kolkata",Kolkata,"Garia, Kolkata",2,30 Lac,N/A,918,3268,Semi-Furnished
"3 BHK Apartment for Sale in Shrachi Restello, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1.70 Cr,N/A,2520,6746,Unfurnished
"3 BHK Apartment for Sale in Shrachi Restello, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1.50 Cr,N/A,2600,5769,Semi-Furnished
"3 BHK Apartment for Sale in Shrachi Restello, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",3,1.31 Cr,N/A,2520,5198,Unfurnished
"2 BHK Apartment for Sale in Shrachi Restello, Rajarhat Kolkata",Kolkata,"Rajarhat, Kolkata",2,1.20 Cr,N/A,1718,6985,Semi-Furnished
"2 BHK Apartment for Sale in Mira Garden, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",2,38 Lac,N/A,900,4222,Furnished
"2 BHK Apartment for Sale in Mira Garden, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",2,29 Lac,N/A,900,3222,Unfurnished
1 BHK Apartment for Sale in Rajarhat Main Road Kolkata,Kolkata,"Rajarhat Main Road, Kolkata",1,15 Lac,N/A,420,3571,Unfurnished
2 BHK Apartment for Sale in Ichapur Kolkata,Kolkata,"Ichapur, Kolkata",2,30 Lac,N/A,650,4615,Furnished
5 BHK House for Sale in Pratapgarh Garfa Kolkata,Kolkata,"Pratapgarh, Kolkata",5,1.30 Cr,N/A,1500,8667,Unfurnished
"2 BHK Apartment for Sale in Space Clubtown Courtyard, Rajarhat Kolkata",Kolkata,N/A,2,42 Lac,N/A,650,N/A,Unfurnished
"2 BHK Apartment for Sale in The Banyan The Sky Garden, New Town Kolkata",Kolkata,"New Town, Kolkata",2,37.4 Lac,N/A,870,4300,Unfurnished
"2 BHK Apartment for Sale in The Banyan The Sky Garden, New Town Kolkata",Kolkata,"New Town, Kolkata",2,37.4 Lac,N/A,870,4300,Unfurnished
"2 BHK Apartment for Sale in The Banyan The Sky Garden, New Town Kolkata",Kolkata,"New Town, Kolkata",2,37.4 Lac,N/A,870,4300,Unfurnished
"2 BHK Apartment for Sale in Neelkanth Chitrakut Heights, New Town Kolkata",Kolkata,"New Town, Kolkata",2,44 Lac,N/A,883,4983,Unfurnished
"2 BHK Apartment for Sale in Gangotri Identity, Jessore Road Kolkata",Kolkata,"Jessore Road, Kolkata",2,66 Lac,N/A,1085,6083,Unfurnished
"2 BHK Apartment for Sale in Gangotri Identity, Jessore Road Kolkata",Kolkata,"Jessore Road, Kolkata",2,65 Lac,N/A,1085,5991,Unfurnished
"2 BHK Apartment for Sale in Signum Windmere, Madhyamgram Kolkata",Kolkata,"Madhyamgram, Kolkata",2,27.1 Lac,N/A,865,3136,Unfurnished
"2 BHK Apartment for Sale in Yaduka Shree Krishna Ashrey, Kankurgachi Kolkata",Kolkata,"Kankurgachi, Kolkata",2,97.5 Lac,N/A,1219,8000,Unfurnished
"2 BHK Apartment for Sale in Natural Utopia, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",2,69.5 Lac,N/A,1048,6629,Unfurnished
2 BHK Apartment for Sale in BALIGORI ROADACTION AREA-3B Kolkata,Kolkata,"BALIGORI ROADACTION AREA-3B, Kolkata",2,38.6 Lac,N/A,576,6701,Unfurnished
"> 10 BHK House for Sale in North 24 Parganas, Kolkata north Manicktala Kolkata",Kolkata,"North 24 Parganas, Kolkata north Manicktala, Kolkata",10,2.30 Cr,N/A,1580,20,Semi-Furnished
"2 BHK Apartment for Sale in Manorama Heights, Tollygunge Kolkata",Kolkata,"Tollygunge, Kolkata",2,51.4 Lac,N/A,902,5700,Unfurnished
"2 BHK Apartment for Sale in Manorama Heights, Tollygunge Kolkata",Kolkata,"Tollygunge, Kolkata",2,51.4 Lac,N/A,902,5700,Unfurnished
"2 BHK Apartment for Sale in Manorama Heights, Tollygunge Kolkata",Kolkata,"Tollygunge, Kolkata",2,51.4 Lac,N/A,902,5700,Unfurnished
"2 BHK Apartment for Sale in Megha Mallar, Gariahat Road Kolkata",Kolkata,"Gariahat Road, Kolkata",2,2 Cr,N/A,1100,18182,Semi-Furnished
2 BHK Apartment for Sale in Mandirtala Shibpur Kolkata,Kolkata,N/A,2,48 Lac,N/A,1068,N/A,Unfurnished
4 BHK House for Sale in Uttarpara Chinsurah Kolkata,Kolkata,"Uttarpara, Kolkata",4,1.35 Cr,N/A,800,16875,Semi-Furnished
2 BHK Apartment for Sale in Dover Lane Kolkata,Kolkata,"Dover Lane, Kolkata",2,1.20 Cr,N/A,1050,11429,Unfurnished
"3 BHK Apartment for Sale in Bengal Urbana Phase 2, Anandapur High Road Kolkata",Kolkata,"Anandapur High Road, Kolkata",3,4.80 Cr,N/A,1572,30534,Unfurnished
2 BHK Apartment for Sale in Urban Prestige Kolkata,Kolkata,"Urban Prestige, Kolkata",2,75 Lac,N/A,1100,6818,Furnished
"7 BHK Villa for Sale in Chandannagar, Hooghly-Chinsurah Kolkata",Kolkata,"Chandannagar, Kolkata",7,2.75 Cr,N/A,1930,14249,Furnished
